Sentence,Type
"Ali, who was two at the time, loved the story about the little girl who lived in a teeny, weeny house and played with itty, bitty toys.",Auditory
"Look at my dad, spiffed up in jodhpurs, ready to ride that bay mare he loved.",Auditory
Believe me it's far more difficult to know what to say to an unconscious loved one than the movies make out.,Auditory
"The Surrealists loved bad movies, seeing them as subversive attacks on the tyranny of narrative form.",Auditory
"He idolised prize-fighters, regarded racketeers as his friends and loved money though he had difficulty holding on to it.",Auditory
"I'm sure my neighbours must have loved me, since the noise it made could delicately be called an absolute racket.",Auditory
Our lads take it very seriously and we'd have loved to win but it wasn't to be.,Auditory
"I loved the Reverend's daughter, and I loved the sweet, sweet jive of rock and roll music.",Auditory
"She loved them for their mortality, for their casual acceptance of the dark, and for their quotidian lives, so unlike her own.",Auditory
I loved the way that the stage just transformed itself with quivering strands of material.,Auditory
"Jenny loved the look of the school house and began imagining her new life in its charming, quirky interior.",Auditory
"I don't doubt that my husband loved me, but I also know that I was a trophy in some ways.",Auditory
A new survey reveals that less than a quarter of people wait on the platform to wave their loved one farewell until the train has pulled out.,Auditory
There is intense sibling jealousy and she feels she is not loved as much as the youngest child.,Auditory
"She was a dynamic, passionate, and caring woman, who loved drama and literature as much as medicine.",Auditory
There are no quick fixes for the grief and anguish after the death of a loved one.,Auditory
"Among waterfowl, the Canada Goose is the least loved, especially by golfers.",Auditory
Those nutters in the square loved every minute of it and even cheered when the water cannon returned.,Auditory
I have stopped wearing watches because time is really painful when you don't have your loved ones with you.,Auditory
"I don't like jewelry or make up, but I loved buying chains that accessorize my clothing.",Auditory
It is one of the world's most well loved ballets and is easily accessible to those whose knowledge of classical ballet is only limited.,Auditory
"The young children in the war-torn city loved to paint and were always ready to learn, she said.",Auditory
The crew of two Royal Navy warships returned home from the war in Iraq yesterday to a noisy reception from loved ones.,Auditory
Generous and warm-hearted you like to shower your loved one with affection and are very demonstrative and affectionate.,Auditory
But then Miller began taking more traditional academic courses and found he loved being a college student.,Auditory
You are generous and loving in personal and family relationships and spend quality time with loved ones.,Auditory
"The warden announced that the execution could begin, and I told him that I loved him.",Auditory
I saw children who had been repeatedly abused by loved ones or people in authority.,Auditory
"The sudden, abrupt death from a heart attack of the 14-year-old from Strensall shattered all those who knew and loved him.",Auditory
He was a keen walker of long-distance trails in Britain and loved travelling.,Auditory
A well loved member of the card playing circuit for many years his hearty laugh could always be heard above any din.,Auditory
"The most important thing is the presence of God with us, and loving this Abba as we are first loved.",Auditory
"Meanwhile, local families with loved ones on holiday in southern Asia face an anxious wait for news.",Auditory
In this way Father Frost became a dearly loved and adored character among Bulgarian children.,Auditory
"It seemed that at Queensmead he was adored and loved where ever he went, and by many different year groups, not just our own.",Auditory
"Mam loved people, adored God and family and always wanted the other person, whether family or friend to have half of whatever she had.",Auditory
"He loved people, adored our friends and was the life of any party we had at home.",Auditory
"And Lauren loved him for all his sweet adorableness, and pure innocence, and she smiled.",Auditory
"A man with a great fondness for the outdoor life, he loved to ramble in the countryside and experience the peace and quiet of the land.",Auditory
And he loved to tell the yarn about how he and a pal pilfered a barrel of whiskey out from under the noses of the police during Prohibition.,Auditory
"My boyfriend brought me to London and surprised me by booking us in at the Met Hotel, absolutely stunning and funky place to stay, I loved it!",Auditory
She loved dancing will also be missed in the Raftery Room for the waltz and quick step.,Auditory
Kathleen and Michael loved music and dancing and were the recipients of many trophies for waltzing and the quick step.,Auditory
"If I haven't already made it abundantly clear, I loved every minute of The Wire.",Auditory
Outside medicine he was an accomplished pianist and loved his garden and the nearby Lake District.,Auditory
"Having loved and lost, he yearned for the sort of redamancy only the classical love of years gone past may have once known.",Auditory
"During the recent week that I drove the 6-Series ragtop around Los Angeles, car-savvy Angelenos loved it.",Auditory
"They loved the baby, but felt too young to take care of her and decided to put her up for adoption.",Auditory
"I loved the first season, and I would love to play another incredibly strong, badass character.",Auditory
"I loved what I managed to see of New York, but my skin protested by sprouting ugly things, and it took several shampoos to wash New York dirt out of my hair.",Auditory
"I loved the simplicity of it, I loved the autonomy of it, and I loved the language of abbreviations that instant messaging has.",Auditory
"In most ways, the creators of the musical did not want to water down the Tevye they knew and loved.",Auditory
"When Alessandro Bernaroli met his wife-to-be, Alessandra, he knew he loved her despite his confusion over his gender.",Auditory
"Even after Salinger had decamped to Cornish, he loved to lunch with William Shawn and Lillian Ross at the Algonquin in New York.",Auditory
I loved his blend of Native American realism with just a touch of surrealism.,Auditory
"Dozens of tearful family members huddled at the Surabaya and Singapore airports, anxiously awaiting news of loved ones.",Auditory
"Palmer's desire to be loved is large, his need for proofs of appreciation considerable.",Auditory
"The country he had so ardently defended and the city of Benghazi, which he had helped to save and he so loved, proved his undoing.",Auditory
"And when Pedro Almodovar showed us the argentine film, we loved it because it was so fresh.",Auditory
"Before his brutal killing along a dark bike path in Ashland, Ore., 23-year-old David Grubbs loved playing videogames.",Auditory
"The President loved the quote, and turned it into an entire ending about American greatness and aspiration.",Auditory
"Augustus, also known as Augustus the Strong, was a party-boy, and loved any excuse to celebrate.",Auditory
"And there, the sand castle builder and tag player who loved her aunt more than science would be buried.",Auditory
"One woman, BB, is a former pastor who was outed to her congregation before she could even tell her loved ones.",Auditory
"Beethoven, of course, was no stranger to megalomania, and he even loved to brag to his friends about his vanity.",Auditory
"Forrest Gump was about as crimson as they come, and America loved the bejesus out of him.",Auditory
"He was a benchmark, a mentor as an artist and as a man, and I just loved him with all my heart.",Auditory
"He loved the swing music played by big bands, and his heroes included benny Goodman, Count Basie, and Earl Hines.",Auditory
"No one was quite sure how Pepper made it to the bitter end, except that the show's producers loved the drama she provoked.",Auditory
"She was also a buxom beauty, a kind of nineteenth century bombshell who loved to flirt.",Auditory
"Reporters loved Brady, and I dare say the love was mutual, which is not always the case with press secretaries.",Auditory
"Ygritte, the red-headed wildling archer who once loved Jon Snow, has breached the walls of Castle Black.",Auditory
"We loved Zellweger as Bridget Jones for owning her weight, finding love, and never settling for less than she deserved.",Auditory
"Occasionally, when Brie focuses very hard, her loved ones can Briefly sense her, can hear her whispering in their ears.",Auditory
"And, like her mother, she was abandoned by the man she loved.",Auditory
I wondered what the casualty officers would say to loved ones if they asked to see the ceremony.,Auditory
I would have loved to be a fly on the wall in last week's Cabinet meeting.,Auditory
I'd have loved to have been a fly on the wall for that conversation.,Auditory
"The editors, writers, and cartoonists at Charlie Hebdo were human beings with families, friends, and loved ones.",Auditory
Relatives of the dead were forced to collect the charred body parts of their loved ones and transport them to their burial sites.,Auditory
